opcode,argument_bytes,details
nop,0,Does nothing.
dup,0,Duplicates the top element on the stack.
swap,0,Swaps the top 2 elements of the stack.
pop,0,Pops a byte off of the top of the stack.
add,0,Adds the top 2 bytes on the stack.
sub,0,Subtracts the first 2 bytes on the stack. The lowest one is the first operand.
multiply,0,Multiplies the first 2 bytes on the stack.
push_byte,1,Pushes a byte to the top of the stack.
push_ip,0,Pushes the current offset onto the stack.
branch,0,Branches to the offset indicated on the top of the stack.
branch_if_zero,0,Branches to the offset below the top of the stack if the element on the top of the stack is zero.
stackdump,0,A temporary opcode that prints the stack to stdout.
stackprint,0,Prints the top element of the stack to stdout.
breakpoint,0,A breakpoint for the debugger.
halt,0,Exits the program.
